Model,WALKING F1,SITTING F1,STANDING F1,STANDING Recall,Macro F1
SGD,0.9875,0.4744,0.3548,0.3133,0.6056
SVM,0.9548,0.559,0.5901,0.624,0.7013
Random Forest,0.9926,0.6003,0.6074,0.6061,0.7334
Gradient Boosting,0.9959,0.6284,0.6193,0.6046,0.7479
XGBoost,0.9965,0.5377,0.5906,0.6201,0.7083
